역명,호선,문화공간여부,휠체어리프트여부,만남의장소여부,환승주차장여부,자전거보관소여부,엘리베이터여부,기차예매역여부,무인민원발급기여부,환전키오스크여부,수유실여부
서울역,1호선,N,Y,N,N,N,Y,N,N,N,N
시청,1호선,N,N,N,N,N,Y,N,N,N,N
종각,1호선,N,N,N,N,Y,Y,N,Y,N,N
종로3가,1호선,N,N,N,N,N,Y,N,N,N,Y
종로5가,1호선,N,N,N,N,N,Y,N,N,N,N
동대문,1호선,N,N,Y,N,Y,Y,N,N,N,Y
신설동,1호선,N,Y,N,N,N,Y,N,N,N,N
제기동,1호선,N,N,N,N,Y,Y,N,N,N,N
청량리,1호선,N,Y,N,N,N,Y,Y,N,N,N
동묘앞,1호선,N,N,N,N,Y,Y,N,N,N,N
까치산,2호선,N,N,N,N,N,N,N,Y,N,Y
시청,2호선,N,N,N,N,N,Y,N,N,N,N
을지로입구,2호선,N,N,N,N,N,Y,N,N,N,N
을지로3가,2호선,N,N,N,N,N,Y,N,N,N,N
을지로4가,2호선,N,N,Y,N,N,Y,N,N,N,N
동대문역사문화공원,2호선,N,N,N,N,Y,Y,N,N,Y,N
신당,2호선,N,N,Y,N,N,Y,N,N,N,N
상왕십리,2호선,N,Y,Y,N,Y,Y,N,N,N,N
왕십리,2호선,N,N,Y,N,Y,Y,N,N,N,N
한양대,2호선,N,N,Y,N,Y,Y,N,N,N,N
뚝섬,2호선,N,N,Y,N,Y,Y,N,N,N,N
성수,2호선,N,N,Y,N,Y,Y,N,N,N,Y
건대입구,2호선,N,N,Y,N,Y,Y,N,Y,N,N
구의,2호선,N,N,Y,N,Y,Y,N,Y,N,N
강변,2호선,N,N,N,N,Y,Y,N,N,N,Y
잠실나루,2호선,N,N,Y,Y,Y,Y,N,N,N,N
잠실,2호선,N,Y,N,N,Y,Y,N,N,Y,Y
잠실새내,2호선,N,N,Y,N,Y,Y,N,N,N,N
종합운동장,2호선,N,N,Y,N,N,Y,N,N,N,N
삼성,2호선,N,Y,N,N,Y,Y,N,Y,Y,Y
